_id,url,time,fixtime,language,repositoryname,repositoryurl,star,commitnum,tag,day_of_fix
145,https://github.com/godotengine/godot/pull/59671,2021/10/11,2022/3/29,cpp,godot,,,,temporary memory leak,169
146,https://github.com/godotengine/godot/pull/59345,2022/3/20,2022/3/20,cpp,godot,,,,wrong deallocator call,0
147,https://github.com/godotengine/godot/pull/58986,2022/3/10,2022/3/11,cpp,godot,,,,early return,1
148,https://github.com/godotengine/godot/pull/58742,2022/3/4,2022/3/4,cpp,godot,,,,temporary memory leak,0
149,https://github.com/godotengine/godot/pull/58103,2022/1/18,2022/2/15,cpp,godot,,,,temporary memory leak,28
150,https://github.com/godotengine/godot/pull/57764,2022/2/8,2022/2/8,cpp,godot,,,,temporary memory leak,0
151,https://github.com/godotengine/godot/pull/57187,2022/1/25,2022/1/25,cpp,godot,,,,exception,0
152,https://github.com/netdata/netdata/pull/17114,2024/3/6,2024/3/6,c,netdata,,,,temporary memory leak,0
153,https://github.com/netdata/netdata/pull/16568,2023/12/8,2023/12/8,c,netdata,,,,skipped by continue/break,0
154,https://github.com/netdata/netdata/pull/15929,2023/9/8,2023/9/8,c,netdata,,,,temporary memory leak,0
155,https://github.com/netdata/netdata/pull/15822,2023/8/17,2023/8/17,c,netdata,,,,temporary memory leak,0
156,https://github.com/netdata/netdata/pull/15073,2023/5/18,2023/5/19,c,netdata,,,,temporary memory leak,1
157,https://github.com/netdata/netdata/pull/15060,2023/5/16,2023/5/17,c,netdata,,,,temporary memory leak,1
158,https://github.com/netdata/netdata/pull/13641,2022/9/7,2022/9/8,c,netdata,,,,pointer overwrite,1
159,https://github.com/netdata/netdata/pull/12841,2022/5/7,2022/5/8,c,netdata,,,,temporary memory leak,1
160,https://github.com/netdata/netdata/pull/12511,2022/3/24,2022/4/1,c,netdata,,,,temporary memory leak,8
161,https://github.com/netdata/netdata/pull/11060,2021/4/28,2021/4/29,c,netdata,,,,temporary memory leak,1
162,https://github.com/netdata/netdata/pull/10837,2021/3/23,2021/3/24,c,netdata,,,,unclosed file/connection,1
163,https://github.com/netdata/netdata/pull/10096,2020/10/19,2020/10/28,c,netdata,,,,temporary memory leak,9
164,https://github.com/netdata/netdata/pull/9729,2020/8/12,2020/8/20,c,netdata,,,,temporary memory leak,8
165,https://github.com/netdata/netdata/pull/9725,2020/8/12,2020/8/12,c,netdata,,,,temporary memory leak,0
166,https://github.com/netdata/netdata/pull/8460,2020/3/23,2020/3/23,c,netdata,,,,temporary memory leak,0
167,https://github.com/SerenityOS/serenity/pull/12117,2022/1/25,2022/1/25,cpp,serenity,,,,early return,0
168,https://github.com/SerenityOS/serenity/pull/11435,2021/12/27,2021/12/27,cpp,serenity,,,,incorrect placed,0
169,https://github.com/SerenityOS/serenity/pull/7555,2021/5/29,2021/5/30,cpp,serenity,,,,temporary memory leak,1
170,https://github.com/SerenityOS/serenity/pull/5720,2021/3/11,2021/3/11,cpp,serenity,,,,temporary memory leak,0
171,https://github.com/SerenityOS/serenity/pull/4913,2021/1/12,2021/1/12,cpp,serenity,,,,unclosed file/connection,0
172,https://github.com/x64dbg/x64dbg/pull/2439,2020/8/31,2020/9/15,cpp,x64dbg,,,,temporary memory leak,15
173,https://github.com/x64dbg/x64dbg/pull/346,2015/7/19,2015/7/21,cpp,x64dbg,,,,early return,2
174,https://github.com/redis/redis/pull/13086,2024/2/22,2024/2/22,c,redis,,,,early return,0
175,https://github.com/redis/redis/pull/12962,2024/1/18,2024/1/18,c,Arduino,,,,temporary memory leak,0
176,https://github.com/redis/redis/pull/12452,2023/11/5,2023/12/3,c,redis,,,,temporary memory leak,28
177,https://github.com/redis/redis/pull/12296,2023/6/10,2023/6/11,c,redis,,,,early return,1
178,https://github.com/redis/redis/pull/12158,2023/5/11,2023/5/23,c,redis,,,,early return,12
179,https://github.com/redis/redis/pull/11492,2022/11/10,2022/11/10,c,redis,,,,temporary memory leak,0
180,https://github.com/redis/redis/pull/10753,2022/5/19,2022/5/22,c,redis,,,,unclosed file/connection,3
181,https://github.com/redis/redis/pull/11147,2022/8/18,2022/8/18,c,redis,,,,data member leak,0
182,https://github.com/redis/redis/pull/10501,2022/3/31,2022/3/31,c,redis,,,,wrong deallocator call,0
183,https://github.com/redis/redis/pull/10353,2022/2/28,2022/2/28,c,redis,,,,unclosed file/connection,0
184,https://github.com/redis/redis/pull/9813,2021/11/18,2021/11/20,c,redis,,,,temporary memory leak,2
185,https://github.com/redis/redis/pull/9753,2021/11/3,2021/11/9,c,redis,,,,temporary memory leak,6
186,https://github.com/redis/redis/pull/9705,2021/10/31,2021/10/31,c,redis,,,,skipped by goto,0
187,https://github.com/redis/redis/pull/9630,2021/10/12,2021/10/13,c,redis,,,,no limitation,1
188,https://github.com/redis/redis/pull/9499,2021/9/14,2021/9/14,c,redis,,,,temporary memory leak,0
189,https://github.com/redis/redis/pull/9153,2021/6/27,2021/10/3,c,redis,,,,temporary memory leak,98
190,https://github.com/redis/redis/pull/8853,2021/4/25,2021/5/2,c,redis,,,,temporary memory leak,7
191,https://github.com/redis/redis/pull/8822,2021/4/20,2021/4/20,c,redis,,,,wrong deallocator call,0
192,https://github.com/redis/redis/pull/8636,2021/3/11,2021/3/11,c,redis,,,,temporary memory leak,0
193,https://github.com/redis/redis/pull/8475,2021/2/9,2021/2/9,c,redis,,,,temporary memory leak,0
194,https://github.com/redis/redis/pull/8295,2021/1/7,2021/1/7,c,redis,,,,temporary memory leak,0
195,https://github.com/redis/redis/pull/8249,2020/12/27,2020/12/28,c,redis,,,,temporary memory leak,1
